库,f,w,S,表达式,sign,w归,贡献
h5,431,0.08358366956695773,0.5,"mul(ts_std(mul(delay(entropy120,120),ts_argmin(open,60)),20)",1.0,0.0017519933152879352,0.0008759966576439676
h5,451,0.015272568477003937,-0.85,"div(abs(returns),abs(ts_er(volume,244)))",1.0,0.00032012758015551257,-0.0002721084431321857
h5,474,0.15258650959147402,0.0,"ts_decay_linear(ts_max(mul(returns,returns),3),5)",1.0,0.003198358557268487,0.0
h5,483,0.1822337629431274,-0.35,"abs(ts_std(ts_std(abs(returns),5),5))",1.0,0.003819793222171955,-0.0013369276277601842
h5,504,0.0886026882409867,0.44999999999999996,"ts_std(add(slog(close),delta(returns,10)),3)",1.0,0.0018571967265734364,0.0008357385269580462
h5,505,0.17082252302000023,0.44999999999999996,"ts_std(add(slog(slog(close)),ts_std(ts_std(slog(close),20),2",1.0,0.003580602765853811,0.0016112712446342149
h5,549,0.07621034305433462,-0.95,"ts_std(open,3)",1.0,0.001597441369573198,-0.001517569301094538
h5,634,0.3565168114144102,0.9,"add(div(close,ts_max(returns,20)),ts_sum(abs(low),20))",-1.0,0.0074729318971266945,0.006725638707414025
h5,662,0.20405730176897635,0.10000000000000009,"mul(ts_sum(ts_sum(ts_min(ts_zscore(high,244),244),40),40),ts",1.0,0.004277235379675997,0.00042772353796760007
h5,663,0.2067915103117911,0.44999999999999996,"sub(ts_corr(open,returns,40),ts_min(ema(returns,244),244))",1.0,0.0043345469946653005,0.001950546147599385
h5,794,0.15853077421451034,0.4750000000000001,"ema(abs(ts_tsi(ts_argmax(returns,40),5)),20)",1.0,0.0033229560048060047,0.0015784041022828526
h5,796,0.10621559585311914,0.3999999999999999,"ts_std(abs(returns),3)",1.0,0.0022263800438304076,0.0008905520175321629
h5,842,0.06574186749420782,-0.95,"ts_std(slog(open),3)",1.0,0.0013780121521480787,-0.0013091115445406747
h5,885,0.1824108201201696,-0.55,"ts_corr(slog(volume),sub(high,volume),244)",1.0,0.0038235045092237063,-0.0021029274800730387
h5,886,0.02324904770784465,-0.02499999999999991,"ts_decay_linear(ts_argmax(ts_std(add(ts_sum(entropy120,120),",-1.0,0.00048732218125843507,-1.2183054531460834e-05
h5,888,0.09665251699337822,0.75,ts_decay_linear(ts_argmax(ts_std(ts_argmax(ts_std(entropy120,1.0,0.002025928803502706,0.0015194466026270295
h5,892,0.017462047585429838,-0.925,"ts_decay_linear(ts_argmax(ts_std(add(beta120,ts_corr(amount,",1.0,0.00036602114742527496,-0.00033856956136837934
h5,962,0.1334394912726194,-0.19999999999999996,"div(ts_std(sub(sub(low,open),open),3),ts_min(low,10))",1.0,0.0027970188185835743,-0.0005594037637167147
h5,963,0.16759565988760305,0.0,"div(ts_sum(open,10),ts_min(low,10))",1.0,0.003512964641485748,0.0
h5,1003,0.23729211053103605,0.0,"div(ts_std(add(ts_std(add(high,high),20),high),20),low)",1.0,0.004973868622600999,0.0
h5,1005,0.25900644565898706,0.3999999999999999,"div(ts_std(ssqrt(amount),20),low)",1.0,0.005429021766596622,0.0021716087066386484
h5,1006,0.0935226519974388,-0.09999999999999998,"ts_sum(abs(returns),3)",1.0,0.001960323852451271,-0.00019603238524512704
h5,1008,0.030714147684824982,-0.19999999999999996,"div(ts_max(abs(abs(ts_std(high,20))),20),div(ts_std(add(ts_m",-1.0,0.0006437977861868406,-0.00012875955723736808
